,Total Assets,Total Current Assets,Total Non-Current Assets,Total Liabilities,Total Current Liabilities,Total Non-Current Liabilities,Total Equity,Cash Generated from Operating Activities,Income/Loss before Non-Cash Adjustment,Changes in Operating Capital,Cash Flow from Investing Activities,Cash Flow from Financing Activities,Change in Cash,"Cash and Cash Equivalents, Beginning of Period",Gross Profit,Total Revenue,Total Operating Profit/Loss,Diluted EPS,Diluted WASO,Open,return,Net Income,Gross Margin,Total Current Equity,Net Income to Total Assets ratio,Net Income to Total Equity ratio,Total Assets to Total Equity ratio,Total Revenue to Total Assets ratio,Total Revenue to Total Equity ratio,Gross Profit to Total Assets ratio,Gross Profit to Total Equity ratio,Price to Total Assets ratio,Price to Total Current Assets ratio,Price to Total Non-Current Assets ratio,Price to Total Liabilities ratio,Price to Total Current Liabilities ratio,Price to Total Non-Current Liabilities ratio,Price to Total Equity ratio,Price to Cash Generated from Operating Activities ratio,Price to Income/Loss before Non-Cash Adjustment ratio,Price to Changes in Operating Capital ratio,Price to Cash Flow from Investing Activities ratio,Price to Cash Flow from Financing Activities ratio,Price to Change in Cash ratio,"Price to Cash and Cash Equivalents, Beginning of Period ratio",Price to Gross Profit ratio,Price to Total Revenue ratio,Price to Total Operating Profit/Loss ratio,Price to Diluted EPS ratio,Price to Net Income ratio
0,183670000.0,113239000.0,70431000.0,68658000.0,48601000.0,20057000.0,115012000.0,7242000.0,4283000.0,-6224000.0,-45388000.0,47250000.0,9104000.0,22006000.0,44246000.0,130449000.0,5409000.0,0.28,15186961.0,14.88,-0.2419354838709678,4252349.08,0.33918236245582567,64638000.0,0.02315211564218435,0.0369730904601259,1.5969637950822524,0.7102357488974792,1.134220776962404,0.24089943921162954,0.3847076826765903,12343413.978494624,7610147.849462365,4733266.129032258,4614112.903225807,3266196.2365591396,1347916.6666666665,7729301.075268817,486693.54838709673,287836.0215053763,-418279.5698924731,-3050268.817204301,3175403.2258064514,611827.9569892472,1478897.8494623655,2973521.505376344,8766733.870967742,363508.06451612903,0.01881720430107527,285776.14784946234
1,273475000.0,153928000.0,119547000.0,108077000.0,74080000.0,33997000.0,165398000.0,-15212000.0,10793000.0,-42921000.0,-61620000.0,73114000.0,-3718000.0,32175000.0,60453000.0,189903000.0,13666000.0,0.65,16532850.0,11.28,0.503546010638298,10746352.5,0.31833620321953837,79848000.0,0.0392955571807295,0.06497268709416075,1.653435954485544,0.6944071670170948,1.1481577769985127,0.22105494103665782,0.365500187426692,24244237.588652484,13646099.290780142,10598138.29787234,9581294.326241136,6567375.8865248235,3013918.439716312,14662943.262411349,-1348581.5602836881,956826.2411347518,-3805053.1914893617,-5462765.957446809,6481737.588652482,-329609.9290780142,2852393.6170212766,5359308.5106382985,16835372.340425532,1211524.8226950355,0.05762411347517731,952690.8244680852
2,322318000.0,157552000.0,164766000.0,94934000.0,59973000.0,34961000.0,227384000.0,57104000.0,31234000.0,16379000.0,-41543000.0,4642000.0,20203000.0,28074000.0,86954000.0,260713000.0,23184000.0,1.76,17712928.0,16.959999,0.3979953064855723,31174753.28,0.3335238365559063,97579000.0,0.09672048498687631,0.13710178939591178,1.4175051894592408,0.8088688810429452,1.1465758364704641,0.26977705247612604,0.3824103718819266,19004600.177158028,9289623.18924665,9714976.987911379,5597523.914948344,3536144.0764235896,2061379.8385247546,13407076.262209686,3366981.3306003143,1841627.4670770913,965742.9814706946,-2449469.484048908,273702.84632681875,1191214.692878225,1655306.701374216,5127005.019280956,15372229.679966373,1366981.2126757791,0.10377359102438627,1838134.1461164001
3,452984000.0,229697000.0,223287000.0,119708000.0,70708000.0,49000000.0,333276000.0,84284000.0,73951000.0,-20022000.0,-70159000.0,18244000.0,32369000.0,51964000.0,166280000.0,382329000.0,87162000.0,3.67,20139105.0,23.709999,0.5942640486825832,73910515.35,0.43491338611509983,158989000.0,0.16316363348374335,0.2217696904367551,1.359185779954152,0.8440231884569874,1.1471843157023007,0.36707698285149143,0.49892581524022134,19105188.490307402,9687769.282487106,9417419.207820296,5048840.364776059,2982201.7284775088,2066638.6362985508,14056348.125531342,3554787.159628307,3118979.4651615126,-844453.8525708078,-2959046.9404912246,769464.3934822604,1365204.6126193425,2191649.185645263,7013074.947831082,16125222.105660992,3676170.547286822,0.15478701622889143,3117271.9724703487
4,466840000.0,194275000.0,272565000.0,137746000.0,77418000.0,60328000.0,329094000.0,14029000.0,-2146000.0,-22346000.0,-76514000.0,34803000.0,-27682000.0,83948000.0,87773000.0,267465000.0,-9834000.0,-0.11,19646646.0,37.799999,-0.6031745926765765,-2161131.06,0.32816630213298936,116857000.0,-0.004629275683317625,-0.006566911156083065,1.4185612621317922,0.5729264844486334,0.8127313168881839,0.18801516579556166,0.26671103089087006,12350264.876991134,5139550.400517207,7210714.476473928,3644074.1704781526,2048095.2922776532,1595978.8782004993,8706190.706512982,371137.5759560205,-56772.48827440445,-591164.0368032814,-2024179.9477296283,920714.3100718071,-732328.0617018006,2220846.619599117,2322037.09846659,7075793.837983964,-260158.73704123643,-0.002910052987038439,-57172.780877586796
5,466825000.0,192804000.0,274021000.0,193031000.0,91355000.0,101676000.0,273794000.0,-1754000.0,-66049000.0,6473000.0,-32116000.0,42596000.0,8726000.0,58004000.0,46201000.0,190872000.0,-47133000.0,-3.31,19982363.0,15.0,-0.1913333333333332,-66141621.53,0.24205226539251434,101449000.0,-0.1416839747871258,-0.24157440093647048,1.70502275433355,0.4088727039040326,0.6971372637822597,0.09896856423713384,0.1687436539880348,31121666.666666668,12853600.0,18268066.666666668,12868733.333333334,6090333.333333333,6778400.0,18252933.333333332,-116933.33333333333,-4403266.666666667,431533.3333333333,-2141066.6666666665,2839733.3333333335,581733.3333333334,3866933.3333333335,3080066.6666666665,12724800.0,-3142200.0,-0.22066666666666668,-4409441.435333333
6,480805000.0,209169000.0,271636000.0,202914000.0,103148000.0,99766000.0,277891000.0,-44009000.0,-58452000.0,-34409000.0,-19347000.0,47441000.0,-15915000.0,67028000.0,50541000.0,234623000.0,-46134000.0,-2.67,21866630.0,12.13,-0.2926628194558945,-58383902.1,0.21541366362206604,106021000.0,-0.12142948201453813,-0.21009641226236186,1.7301927734255518,0.4879795343226464,0.8442986638646088,0.10511745926103098,0.18187346837429064,39637675.18549052,17243940.6430338,22393734.542456716,16728276.999175597,8503544.929925803,8224732.069249793,22909398.18631492,-3628112.118713932,-4818796.372629843,-2836685.9027205273,-1594971.1459192084,3911046.9909315743,-1312036.2737015663,5525803.792250618,4166611.706512778,19342374.278647978,-3803297.609233306,-0.2201154163231657,-4813182.366034625
7,454459000.0,194079000.0,260380000.0,199889000.0,108957000.0,90932000.0,254570000.0,-11644000.0,-54162000.0,5957000.0,-10546000.0,14088000.0,-8102000.0,50115000.0,37715000.0,211565000.0,-55421000.0,-2.01,26912141.0,8.58,-0.3939393939393939,-54093403.41,0.17826672653794343,85122000.0,-0.11902812665168915,-0.21248930907019678,1.7852024983305181,0.4655315440996878,0.8310680755784263,0.08298878446680559,0.14815178536355422,52967249.41724942,22619930.06993007,30347319.347319346,23297086.247086246,12698951.048951048,10598135.198135197,29670163.17016317,-1357109.557109557,-6312587.412587413,694289.0442890443,-1229137.5291375292,1641958.041958042,-944289.0442890443,5840909.090909091,4395687.645687645,24657925.40792541,-6459324.0093240095,-0.23426573426573424,-6304592.472027971
8,408263000.0,183164000.0,225099000.0,223593000.0,138582000.0,85011000.0,184670000.0,-14022000.0,-66397000.0,11905000.0,-3834000.0,10753000.0,-7103000.0,41136000.0,33627000.0,222818000.0,-58838000.0,-2.38,27846387.0,5.2,-0.6269230769230769,-66274401.059999995,0.1509168918130492,44582000.0,-0.16233261662212836,-0.35888017035793573,2.210770563708236,0.5457707409194563,1.2065738885579682,0.0823660238620693,0.182092381003953,78512115.38461538,35223846.15384615,43288269.23076923,42998653.84615385,26650384.615384616,16348269.23076923,35513461.538461536,-2696538.4615384615,-12768653.846153846,2289423.076923077,-737307.6923076923,2067884.6153846153,-1365961.5384615385,7910769.23076923,6466730.769230769,42849615.384615384,-11315000.0,-0.4576923076923077,-12745077.126923075
9,231839000000.0,68531000000.0,163308000000.0,120292000000.0,63448000000.0,56844000000.0,111547000000.0,59713000000.0,39510000000.0,7047000000.0,-22579000000.0,-37549000000.0,-415000000.0,14259000000.0,70537000000.0,182795000000.0,52503000000.0,1.61,24490652000.0,19.845715,0.4031996327670735,39429949720.0,0.3858803577778386,5083000000.0,0.17007470580877246,0.3534828343209589,2.0783974468161404,0.7884566444817308,1.6387262768160507,0.30424993206492434,0.632352281997723,11682068396.124807,3453188761.402651,8228879634.722156,6061358837.411502,3197062942.8065457,2864295894.6049566,5620709558.7133045,3008861106.793079,1990857976.142457,355089247.2254086,-1137726708.2591887,-1892045713.6464977,-20911315.112607434,718492631.7847456,3554268515.8987722,9210804448.21464,2645558499.655971,0.0811258248946939,1986824345.708885
