,Year,Total Assets,Total Current Assets,"Cash, Cash Equivalents and Short Term Investments",Cash and Cash Equivalents,Total Non-Current Assets,Total Liabilities,Total Current Liabilities,"Payables and Accrued Expenses, Current","Trade and Other Payables, Current",Total Non-Current Liabilities,Total Equity,"Cash Flow from Operating Activities, Indirect","Net Cash Flow from Continuing Operating Activities, Indirect",Cash Generated from Operating Activities,Income/Loss before Non-Cash Adjustment,Total Adjustments for Non-Cash Items,Changes in Operating Capital,Cash Flow from Investing Activities,Cash Flow from Continuing Investing Activities,Cash Flow from Financing Activities,Cash Flow from Continuing Financing Activities,"Cash and Cash Equivalents, End of Period",Change in Cash,"Cash and Cash Equivalents, Beginning of Period",Cash Flow Supplemental Section,"Change in Cash as Reported, Supplemental",Gross Profit,Total Revenue,Business Revenue,Total Operating Profit/Loss,"Non-Operating Income/Expense, Total",Pretax Income,Net Income before Extraordinary Items and Discontinued Operations,Diluted Net Income Available to Common Stockholders,Basic EPS,Diluted EPS,Basic WASO,Diluted WASO,Tiker
0,2013,111057000.0,77936000.0,29976000.0,22006000.0,33121000.0,47980000.0,39057000.0,18908000.0,15314000.0,8923000.0,63077000.0,-6552000.0,-6552000.0,-6552000.0,-1406000.0,4969000.0,-10115000.0,-17736000.0,-17736000.0,35368000.0,35368000.0,22006000.0,11080000.0,10723000.0,0.0,11283000.0,23028000.0,78424000.0,78424000.0,15000.0,-1421000.0,-1406000.0,-1406000.0,-1406000.0,-0.14,-0.14,9964955.0,9964955.0,AAOI
1,2014,183670000.0,113239000.0,40364000.0,32175000.0,70431000.0,68658000.0,48601000.0,36403000.0,31181000.0,20057000.0,115012000.0,7242000.0,7242000.0,7242000.0,4283000.0,9183000.0,-6224000.0,-45388000.0,-45388000.0,47250000.0,47250000.0,32175000.0,9104000.0,22006000.0,0.0,10169000.0,44246000.0,130449000.0,130449000.0,5409000.0,-927000.0,4482000.0,4283000.0,4283000.0,0.3,0.28,14307477.0,15186961.0,AAOI
2,2015,273475000.0,153928000.0,35960000.0,28074000.0,119547000.0,108077000.0,74080000.0,37537000.0,29040000.0,33997000.0,165398000.0,-15212000.0,-15212000.0,-15212000.0,10793000.0,16916000.0,-42921000.0,-61620000.0,-61620000.0,73114000.0,73114000.0,28074000.0,-3718000.0,32175000.0,0.0,-4101000.0,60453000.0,189903000.0,189903000.0,13666000.0,-2498000.0,11168000.0,10793000.0,10793000.0,0.69,0.65,15626753.0,16532850.0,AAOI
3,2016,322318000.0,157552000.0,50268000.0,50224000.0,164766000.0,94934000.0,59973000.0,49977000.0,37956000.0,34961000.0,227384000.0,57104000.0,57104000.0,57104000.0,31234000.0,9491000.0,16379000.0,-41543000.0,-41543000.0,4642000.0,4642000.0,50224000.0,20203000.0,28074000.0,0.0,22150000.0,86954000.0,260713000.0,260713000.0,23184000.0,-2181000.0,21003000.0,31234000.0,31234000.0,1.82,1.76,17201731.0,17712928.0,AAOI
4,2017,452984000.0,229697000.0,82972000.0,82936000.0,223287000.0,119708000.0,70708000.0,67673000.0,51997000.0,49000000.0,333276000.0,84284000.0,84284000.0,84284000.0,73951000.0,30355000.0,-20022000.0,-70159000.0,-70159000.0,18244000.0,18244000.0,83948000.0,32369000.0,51964000.0,0.0,31984000.0,166280000.0,382329000.0,382329000.0,87162000.0,-2636000.0,84526000.0,73951000.0,73951000.0,3.87,3.67,19097355.0,20139105.0,AAOI
5,2018,466840000.0,194275000.0,55646000.0,55646000.0,272565000.0,137746000.0,77418000.0,45913000.0,30998000.0,60328000.0,329094000.0,14029000.0,14029000.0,14029000.0,-2146000.0,38521000.0,-22346000.0,-76514000.0,-76514000.0,34803000.0,34803000.0,58004000.0,-27682000.0,83948000.0,0.0,-25944000.0,87773000.0,267465000.0,267465000.0,-9834000.0,56000.0,-9778000.0,-2146000.0,-2146000.0,-0.11,-0.11,19646646.0,19646646.0,AAOI
6,2019,466825000.0,192804000.0,59977000.0,59977000.0,274021000.0,193031000.0,91355000.0,48092000.0,35251000.0,101676000.0,273794000.0,-1754000.0,-1754000.0,-1754000.0,-66049000.0,57822000.0,6473000.0,-32116000.0,-32116000.0,42596000.0,42596000.0,67028000.0,8726000.0,58004000.0,0.0,9024000.0,46201000.0,190872000.0,190872000.0,-47133000.0,-4254000.0,-51387000.0,-66049000.0,-66049000.0,-3.31,-3.31,19982363.0,19982363.0,AAOI
7,2020,480805000.0,209169000.0,43425000.0,43425000.0,271636000.0,202914000.0,103148000.0,44633000.0,30989000.0,99766000.0,277891000.0,-44009000.0,-44009000.0,-44009000.0,-58452000.0,48852000.0,-34409000.0,-19347000.0,-19347000.0,47441000.0,47441000.0,50114000.0,-15915000.0,67028000.0,0.0,-16914000.0,50541000.0,234623000.0,234623000.0,-46134000.0,-5090000.0,-51224000.0,-58452000.0,-58452000.0,-2.67,-2.67,21866630.0,21866630.0,AAOI
8,2021,454459000.0,194079000.0,34656000.0,34656000.0,260380000.0,199889000.0,108957000.0,46323000.0,37774000.0,90932000.0,254570000.0,-11644000.0,-11644000.0,-11644000.0,-54162000.0,36561000.0,5957000.0,-10546000.0,-10546000.0,14088000.0,14088000.0,41137000.0,-8102000.0,50115000.0,0.0,-8978000.0,37715000.0,211565000.0,211565000.0,-55421000.0,1261000.0,-54160000.0,-54162000.0,-54162000.0,-2.01,-2.01,26912141.0,26912141.0,AAOI
9,2022,408263000.0,183164000.0,24685000.0,24685000.0,225099000.0,223593000.0,138582000.0,61586000.0,50030000.0,85011000.0,184670000.0,-14022000.0,-14022000.0,-14022000.0,-66397000.0,40470000.0,11905000.0,-3834000.0,-3834000.0,10753000.0,10754000.0,35587000.0,-7103000.0,41136000.0,0.0,-5550000.0,33627000.0,222818000.0,222818000.0,-58838000.0,-7558000.0,-66396000.0,-66397000.0,-66397000.0,-2.38,-2.38,27846387.0,27846387.0,AAOI
10,2014,231839000000.0,68531000000.0,25077000000.0,13844000000.0,163308000000.0,120292000000.0,63448000000.0,37885000000.0,31405000000.0,56844000000.0,111547000000.0,59713000000.0,59713000000.0,59713000000.0,39510000000.0,13156000000.0,7047000000.0,-22579000000.0,-22579000000.0,-37549000000.0,-37549000000.0,13844000000.0,-415000000.0,14259000000.0,0.0,-415000000.0,70537000000.0,182795000000.0,182795000000.0,52503000000.0,980000000.0,53483000000.0,39510000000.0,39510000000.0,1.62,1.61,24342288000.0,24490652000.0,AAPL
11,2015,290479000000.0,89378000000.0,41601000000.0,21120000000.0,201101000000.0,171124000000.0,80610000000.0,60671000000.0,35490000000.0,90514000000.0,119355000000.0,81266000000.0,81266000000.0,81266000000.0,53394000000.0,16225000000.0,11647000000.0,-56274000000.0,-56274000000.0,-17716000000.0,-17716000000.0,21120000000.0,7276000000.0,13844000000.0,0.0,7276000000.0,93626000000.0,233715000000.0,233715000000.0,71230000000.0,1285000000.0,72515000000.0,53394000000.0,53394000000.0,2.32,2.31,23013684000.0,23172276000.0,AAPL
12,2016,321686000000.0,106869000000.0,67155000000.0,20484000000.0,214817000000.0,193437000000.0,79006000000.0,59321000000.0,37294000000.0,114431000000.0,128249000000.0,65824000000.0,65824000000.0,65824000000.0,45687000000.0,19653000000.0,484000000.0,-45977000000.0,-45977000000.0,-20483000000.0,-20483000000.0,20484000000.0,-636000000.0,21120000000.0,0.0,-636000000.0,84263000000.0,215639000000.0,215639000000.0,60024000000.0,1348000000.0,61372000000.0,45687000000.0,45687000000.0,2.09,2.08,21883280000.0,22001124000.0,AAPL
13,2017,375319000000.0,128645000000.0,74181000000.0,20289000000.0,246674000000.0,241272000000.0,100814000000.0,74793000000.0,49049000000.0,140458000000.0,134047000000.0,63598000000.0,63598000000.0,63598000000.0,48351000000.0,20797000000.0,-5550000000.0,-46446000000.0,-46446000000.0,-17347000000.0,-17347000000.0,20289000000.0,-195000000.0,20484000000.0,0.0,-195000000.0,88186000000.0,229234000000.0,229234000000.0,61344000000.0,2745000000.0,64089000000.0,48351000000.0,48351000000.0,2.32,2.3,20868968000.0,21006768000.0,AAPL
14,2018,365725000000.0,131339000000.0,66301000000.0,25913000000.0,234386000000.0,258578000000.0,116866000000.0,55888000000.0,55888000000.0,141712000000.0,107147000000.0,77434000000.0,77434000000.0,77434000000.0,59531000000.0,-16791000000.0,34694000000.0,16066000000.0,16066000000.0,-87876000000.0,-87876000000.0,25913000000.0,5624000000.0,20289000000.0,0.0,5624000000.0,101839000000.0,265595000000.0,265595000000.0,70898000000.0,2005000000.0,72903000000.0,59531000000.0,59531000000.0,3.0,2.98,19821508000.0,20000436000.0,AAPL
15,2019,338516000000.0,162819000000.0,100557000000.0,48844000000.0,175697000000.0,248028000000.0,105718000000.0,46236000000.0,46236000000.0,142310000000.0,90488000000.0,69391000000.0,69391000000.0,69391000000.0,55256000000.0,17623000000.0,-3488000000.0,45896000000.0,45896000000.0,-90976000000.0,-90976000000.0,50224000000.0,24311000000.0,25913000000.0,0.0,24311000000.0,98392000000.0,260174000000.0,260174000000.0,63930000000.0,1807000000.0,65737000000.0,55256000000.0,55256000000.0,2.99,2.97,18471336000.0,18595652000.0,AAPL
16,2020,323888000000.0,143713000000.0,90943000000.0,38016000000.0,180175000000.0,258549000000.0,105392000000.0,42296000000.0,42296000000.0,153157000000.0,65339000000.0,80674000000.0,80674000000.0,80674000000.0,57411000000.0,17573000000.0,5690000000.0,-4289000000.0,-4289000000.0,-86820000000.0,-86820000000.0,39789000000.0,-10435000000.0,50224000000.0,0.0,-10435000000.0,104956000000.0,274515000000.0,274515000000.0,66288000000.0,803000000.0,67091000000.0,57411000000.0,57411000000.0,3.31,3.28,17352119000.0,17528214000.0,AAPL
17,2021,351002000000.0,134836000000.0,62639000000.0,34940000000.0,216166000000.0,287912000000.0,125481000000.0,54763000000.0,54763000000.0,162431000000.0,63090000000.0,104038000000.0,104038000000.0,104038000000.0,94680000000.0,14269000000.0,-4911000000.0,-14545000000.0,-14545000000.0,-93353000000.0,-93353000000.0,35929000000.0,-3860000000.0,39789000000.0,0.0,-3860000000.0,152836000000.0,365817000000.0,365817000000.0,108949000000.0,258000000.0,109207000000.0,94680000000.0,94680000000.0,5.67,5.61,16701272000.0,16864919000.0,AAPL
18,2022,352755000000.0,135405000000.0,48304000000.0,23646000000.0,217350000000.0,302083000000.0,153982000000.0,64115000000.0,64115000000.0,148101000000.0,50672000000.0,122151000000.0,122151000000.0,122151000000.0,99803000000.0,21148000000.0,1200000000.0,-22354000000.0,-22354000000.0,-110749000000.0,-110749000000.0,24977000000.0,-10952000000.0,35929000000.0,0.0,-10952000000.0,170782000000.0,394328000000.0,394328000000.0,119437000000.0,-334000000.0,119103000000.0,99803000000.0,99803000000.0,6.15,6.11,16215963000.0,16325819000.0,AAPL
19,2023,352583000000.0,143566000000.0,61555000000.0,29965000000.0,209017000000.0,290437000000.0,145308000000.0,62611000000.0,62611000000.0,145129000000.0,62146000000.0,110543000000.0,110543000000.0,110543000000.0,96995000000.0,20125000000.0,-6577000000.0,3705000000.0,3705000000.0,-108488000000.0,-108488000000.0,30737000000.0,5760000000.0,24977000000.0,0.0,5760000000.0,169148000000.0,383285000000.0,383285000000.0,114301000000.0,-565000000.0,113736000000.0,96995000000.0,96995000000.0,6.16,6.13,15744231000.0,15812547000.0,AAPL
20,2018,6613089000.0,5874532000.0,3329308000.0,2140877000.0,738557000.0,7130397000.0,3736010000.0,2601203000.0,2535542000.0,3394387000.0,-517308000.0,595557000.0,595557000.0,595557000.0,-16860000.0,191388000.0,421029000.0,-668171000.0,-668171000.0,140516000.0,140516000.0,4438576000.0,67902000.0,4529593000.0,0.0,-91017000.0,2787953000.0,3651985000.0,3651985000.0,18744000.0,28289000.0,47033000.0,-16860000.0,-16860000.0,-0.03,-0.03,530945000.0,530945000.0,ABNB
21,2019,8310119000.0,6561443000.0,3074273000.0,2013547000.0,1748676000.0,9117804000.0,5233764000.0,3598564000.0,3504336000.0,3884040000.0,-807685000.0,222727000.0,222727000.0,222727000.0,-674339000.0,276684000.0,620382000.0,-347155000.0,-347155000.0,854579000.0,854579000.0,5143443000.0,730151000.0,4438576000.0,0.0,704867000.0,3608926000.0,4805239000.0,4805239000.0,-501543000.0,89840000.0,-411703000.0,-674339000.0,-674339000.0,-1.29,-1.29,521709000.0,521709000.0,ABNB
22,2020,10491499000.0,8916386000.0,6391257000.0,5480557000.0,1575113000.0,7589716000.0,5139779000.0,2451921000.0,2426484000.0,2449937000.0,2901783000.0,-629732000.0,-629732000.0,-629732000.0,-4584716000.0,4239594000.0,-284610000.0,79590000.0,79590000.0,2940814000.0,2940814000.0,7668252000.0,2390672000.0,5143443000.0,0.0,2524809000.0,2502157000.0,3378199000.0,3378199000.0,-3438792000.0,-1243146000.0,-4681938000.0,-4584716000.0,-4584716000.0,-16.12,-16.12,284363000.0,284363000.0,ABNB
