,Open,Date,Year
0,22.17,2014-01-01,2014
1,27.860001,2015-01-01,2015
2,26.389999,2016-01-01,2016
3,30.370001,2017-01-01,2017
4,38.669998,2018-01-01,2018
5,42.279999,2019-01-01,2019
6,48.060001,2020-01-01,2020
7,44.310001,2021-01-01,2021
8,62.900002,2022-01-01,2022
9,47.860001,2023-01-01,2023
10,50.490002,2024-01-01,2024
11,10.0,2014-01-01,2014
12,9.13,2015-01-01,2015
13,11.71,2016-01-01,2016
14,12.95,2017-01-01,2017
15,9.55,2018-01-01,2018
16,6.22,2019-01-01,2019
17,5.18,2020-01-01,2020
18,4.88,2021-01-01,2021
19,5.85,2022-01-01,2022
20,5.0,2023-01-01,2023
21,10.08,2024-01-01,2024
22,36.130001,2014-11-01,2014
23,33.919998,2015-01-01,2015
24,55.439999,2016-01-01,2016
25,47.299999,2017-01-01,2017
26,88.400002,2018-01-01,2018
27,122.580002,2019-01-01,2019
28,159.509995,2020-01-01,2020
29,396.440002,2021-01-01,2021
30,659.23999,2022-01-01,2022
31,297.769989,2023-01-01,2023
32,572.940002,2024-01-01,2024
33,11.3,2020-12-01,2020
34,12.67,2021-01-01,2021
35,7.12,2022-01-01,2022
36,1.15,2023-01-01,2023
37,1.19,2024-01-01,2024
38,8.0,2014-01-01,2014
39,9.8,2015-01-01,2015
40,9.75,2016-01-01,2016
41,10.75,2017-01-01,2017
42,14.25,2018-01-01,2018
43,19.0,2019-01-01,2019
44,31.940001,2020-01-01,2020
45,35.110001,2021-01-01,2021
46,93.290001,2022-01-01,2022
47,71.099998,2023-01-01,2023
48,108.949997,2024-01-01,2024
49,22.73,2014-01-01,2014
50,23.83,2015-01-01,2015
51,27.530001,2016-01-01,2016
52,55.040001,2017-01-01,2017
53,68.050003,2018-01-01,2018
54,42.080002,2019-01-01,2019
55,72.0,2020-01-01,2020
56,98.980003,2021-01-01,2021
57,91.230003,2022-01-01,2022
58,86.690002,2023-01-01,2023
59,107.440002,2024-01-01,2024
60,11.48,2014-01-01,2014
61,11.44,2015-01-01,2015
62,10.58,2016-01-01,2016
63,10.5,2017-01-01,2017
64,9.38,2018-01-01,2018
65,10.34,2019-01-01,2019
66,10.45,2020-01-01,2020
67,10.94,2021-01-01,2021
68,9.5,2022-01-01,2022
69,7.1,2023-01-01,2023
70,10.84,2024-01-01,2024
71,1.63,2014-01-01,2014
72,1.84,2015-01-01,2015
